Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
340075;23;79,844;80,608;23,921;19,567;77,245;76,737;78,3;16,832;15,075;16,034;-0,29;-0,425;-0,204
340077;16;59,297;59,448;15,024;15,603;59,953;60,818;59,189;16,238;16,183;15,633;0,091;0,162;-0,036
340080;36;59,756;59,909;20,47;20,594;60,254;60,663;59,647;21,428;21,007;20,516;0,052;0,068;-0,026
340082;15;73,827;74,148;17,716;18,128;75,751;76,181;73,795;20,867;19,123;18,133;0,216;0,204;-0,043
340083;17;59,136;59,542;14,929;13,511;58,888;58,422;58,664;14,407;12,497;12,663;-0,037;-0,163;-0,124
340098;19;50,901;51,414;15,292;13,413;50,098;49,89;50,402;13,45;11,969;12,306;-0,124;-0,227;-0,14
340102;43;61,953;62,126;21,766;21,787;62,459;63,011;61,911;22,744;22,312;21,71;0,05;0,075;-0,02
340103;36;65,39;65,85;24,782;22,567;64,346;63,683;64,139;22,449;20,643;20,932;-0,098;-0,184;-0,14
340104;16;63,006;63,728;22,231;20,283;61,626;63,05;62,725;18,984;19,843;19,749;-0,149;-0,063;-0,097
340105;16;72,676;72,8;15,115;15,964;72,628;73,898;72,624;15,017;16,228;16,038;-0,007;0,129;-0,025
340106;16;56,057;56,058;16,252;18,306;57,928;59,735;56,149;19,281;19,339;18,234;0,228;0,381;0,012
340107;34;58,409;58,142;21,253;23,988;61,466;62,333;59,001;25,954;25,34;23,703;0,28;0,325;0,08
340108;31;71,847;72,565;25,385;22,085;69,883;70,056;70,626;20,557;19,741;20,012;-0,191;-0,219;-0,158
340109;40;65,918;65,902;20,415;21,231;66,399;66,9;65,907;21,342;21,673;21,232;0,05;0,086;0
340112;19;62,52;62,671;25,268;24,709;61,981;62,915;61,777;24,122;24,872;24,356;-0,048;0,019;-0,076
340113;39;80,766;80,9;22,669;22,864;81,461;81,456;80,575;23,989;23,171;22,751;0,065;0,044;-0,028
